Year and month,SUM,Reclaimed sheep,The amount of incineration
19-Jan,3282.84,134.32,3148.52
19-Feb,2828.21,231.39,2596.82
19-Mar,3172.92,822.11,2350.81
19-Apr,3189.67,1371.5,1818.17
19-May,3289.17,672.6,2616.57
19-Jun,3100.69,312.7,2787.99
19-Jul,3290.5,690.25,2600.25
19-Aug,3446.86,754.21,2692.65
19-Sep,3323.88,1280.04,2043.84
19-Oct,4168.91,4168.91, - 
19-Nov,3817.11,1860.6,1956.51
19-Dec,3688.93,2491.42,1197.51
20-Jan,3151.16,816.18,2334.98
20-Feb,3108.82,191.06,2917.76
20-Mar,3142.33,121.54,3020.79
20-Apr,3136.8,584.02,2552.78
20-May,3380.35,954.82,2425.53
20-Jun,3412.08,93.3,3318.78
20-Jul,3511.99,440.45,3071.54
20-Aug,3486.73,198.33,3288.4
20-Sep,3354.44,797.2,2557.24
20-Oct,2957.31,2465.14,492.17
20-Nov,3557.77,2168.47,1389.3
20-Dec,3381.94,635.61,2746.33
21-Jan,2925.31,43,2882.31
21-Feb,2824.87,360.41,2464.46
21-Mar,3700.9,409.44,3291.46
21-Apr,3141.36,2408.77,732.59
21-May,3017.67,1513.52,1504.15
21-Jun,3396.9,276.06,3120.84
21-Jul,3444.17,73.36,3370.81
21-Aug,3158.51,38.74,3119.77
21-Sep,3115.49,34.68,3080.81
21-Oct,3290.39,809.63,2480.76
21-Nov,3641.65,840.53,2801.12
21-Dec,3541.7,737.85,2803.85
22-Jan,3027.49,47.68,2979.81
22-Feb,2657.74,110.93,2546.81
22-Mar,3295.85,193.86,3101.99
22-Apr,2917.35,868.47,2048.88
22-May,3432.64,578.1,2854.54
22-Jun,3386.44,58.36,3328.08
22-Jul,3331.51,102,3229.51
22-Aug,3291.11,308,2983.11
22-Sep,2960.17,665,2295.17
22-Oct,2608.73,2608.73, - 
22-Nov,3367.7,861.13,2506.57
22-Dec,3167.69,182.99,2984.7
23-Jan,2795.26,86.02,2709.24
23-Feb,2749.71,113.04,2636.67
23-Mar,3183.08,115.74,3067.34
23-Apr,2906.07,231.59,2674.48
23-May,3004.9,546.11,2458.79
23-Jun,3240.62,129.8,3110.82
23-Jul,3464.03,65.7,3398.33
23-Aug,3263.78,53.01,3210.77
23-Sep,2987.06,59.65,2927.41
23-Oct,3318.68,1872.47,1446.21
23-Nov,2938.98,2196.93,742.05
23-Dec,3277.35,174.48,3102.87
24-Jan,3076.21,29.35,3046.86
24-Feb,2755.84,32.96,2722.88
24-Mar,3075.92,70.62,3005.3
24-Apr,2996.98,340.38,2656.6
24-May,2706.66,380.76,2325.9
24-Jun,2870.15,47.38,2822.77
24-Jul,3262.89,55.64,3207.25
24-Aug,2858.59,61.83,2796.76
24-Sep,2763.27,48.82,2714.45
24-Oct,2779.03,1360,1419.03
24-Nov,2774.04,1362.66,1411.38
24-Dec,2812.75,21.96,2790.79
25-Jan,2430.24,19.91,2410.33
25-Feb,2339.52,10,2329.52
25-Mar,2776.6,70,2706.6
25-Apr,2741.65,568.97,2172.68
25-May,2870.84,51.97,2818.87
